1.2, 120, 1.6, 190, 5, 1, 0, 0
2.0, 180, 2.0, 220, 4, 1, 0, 0
3.5, 70, 4.5, 130, 3, 0, 1, 0
2.2, 150, 2.4, 160, 7, 0, 0, 1
5.0, 310, 6.2, 140, 2, 0, 1, 0
1.4, 90, 1.8, 170, 4, 1, 0, 0
3.1, 240, 3.0, 200, 6, 1, 0, 0
2.5, 200, 2.7, 180, 5, 1, 0, 0
4.0, 130, 5.0, 120, 8, 0, 1, 0
6.0, 400, 8.0, 110, 2, 0, 1, 0
1.8, 110, 2.2, 195, 5, 1, 0, 0
3.6, 250, 3.6, 210, 4, 1, 0, 0
4.2, 80, 4.4, 125, 6, 0, 1, 0
5.5, 450, 5.8, 100, 3, 0, 1, 0
1.5, 100, 2.0, 185, 4, 1, 0, 0
2.3, 160, 2.6, 165, 5, 1, 0, 0
3.8, 90, 3.9, 135, 6, 0, 1, 0
4.6, 350, 4.8, 155, 4, 0, 1, 0
1.7, 140, 1.9, 175, 5, 1, 0, 0
2.8, 220, 2.9, 160, 5, 1, 0, 0
3.9, 95, 4.1, 130, 7, 0, 1, 0
5.2, 360, 5.4, 145, 3, 0, 1, 0
1.6, 130, 2.1, 180, 4, 1, 0, 0
2.7, 210, 3.2, 175, 5, 1, 0, 0
4.4, 75, 4.6, 140, 7, 0, 1, 0
6.5, 420, 7.0, 115, 2, 0, 1, 0
1.9, 160, 2.5, 200, 4, 1, 0, 0
2.6, 170, 3.1, 190, 5, 1, 0, 0
3.7, 85, 3.8, 150, 6, 0, 1, 0
4.5, 320, 4.7, 130, 4, 0, 1, 0
